Sold,Selling Price,Make,Model,Mileage,Displacement (L),Aspiration,Cylinder Config,Drivetrain,Transmission,Gears,Body Style,Exterior Color,Interior Color,Title Status,Location,Seller Type,Model Year Age,Has Executive Package,Has Carbon Equipment,Has Lane Tracking Equipment,Has Leather Equipment,Has Premium Sound,Has Sunroof,Has Accident History,Has Cosmetic Flaw,Has Modifications
True,17600.0,toyota,mr2,7900.0,2.0,turbocharged,i4,RWD,manual,5.0,coupe,Red,Black,clean,sc,dealer,33,0,0,0,0,0,0,1,1,0
True,107000.0,porsche,981 cayman,19100.0,3.8,Naturally Aspirated,flat-6,RWD,manual,6.0,coupe,White,Black,clean,tx,dealer,9,0,0,0,1,0,0,1,1,1
False,11400.0,bmw,700,31400.0,0.7,Naturally Aspirated,flat-2,RWD,manual,4.0,coupe,Blue,Gray,clean,ca,private party,62,0,0,0,0,0,0,0,1,0
True,35000.0,porsche,718 cayman,70200.0,2.5,turbocharged,flat-4,RWD,manual,6.0,coupe,Blue,Black,clean,ab,private party,8,0,0,0,1,0,0,0,1,0
False,42750.0,ford,mustang,15100.0,5.0,Naturally Aspirated,v8,RWD,manual,6.0,coupe,Black,Other,clean,tn,private party,4,0,0,0,0,0,0,0,1,1
False,59000.0,dodge,challenger,640.0,6.2,supercharged,v8,RWD,automatic,8.0,coupe,Blue,Black,clean,oh,private party,6,0,0,0,1,0,0,1,1,0
True,24000.0,porsche,987 cayman,86500.0,3.4,Naturally Aspirated,flat-6,RWD,manual,6.0,coupe,Black,Other,clean,ca,private party,18,0,0,0,1,0,0,0,1,0
True,5300.0,toyota,celica,134300.0,1.8,Naturally Aspirated,i4,FWD,automatic,4.0,coupe,White,Gray,clean,ca,private party,29,0,0,0,0,0,0,0,1,1
True,15500.0,chevrolet,c5 corvette,32300.0,5.7,Naturally Aspirated,v8,RWD,automatic,4.0,coupe,Red,Other,clean,nj,private party,22,0,0,0,0,0,0,0,1,1
False,18500.0,mercedes-benz,c-class amg,97000.0,6.2,Naturally Aspirated,v8,RWD,automatic,7.0,coupe,Black,Black,clean,ca,private party,12,0,1,1,1,0,0,0,1,1
True,55000.0,chevrolet,c7 corvette,39900.0,6.2,supercharged,v8,RWD,manual,7.0,coupe,Gray,Black,clean,tx,private party,10,0,0,0,0,0,0,0,1,1
True,6100.0,mercedes-benz,e-class,107200.0,3.0,Naturally Aspirated,i6,RWD,automatic,5.0,coupe,Other,Gray,clean,sc,private party,34,0,0,0,1,0,0,1,1,1
True,220000.0,porsche,964 911,95700.0,3.3,turbocharged,flat-6,RWD,manual,5.0,coupe,Other,Other,clean,fl,dealer,34,0,0,0,1,0,1,0,1,1
True,6900.0,bmw,3 series,77100.0,2.5,Naturally Aspirated,i6,RWD,automatic,5.0,coupe,Other,Black,clean,ca,dealer,20,0,0,0,1,0,1,0,1,0
True,88100.0,porsche,991 911,27000.0,3.0,turbocharged,flat-6,RWD,automatic,7.0,coupe,Blue,Blue,clean,ca,private party,7,0,0,0,0,0,0,1,1,1
True,21500.0,suzuki,cara,143600.0,0.7,turbocharged,i3,RWD,manual,5.0,coupe,Blue,Black,clean,tn,dealer,31,0,0,0,0,0,0,0,1,1
False,26500.0,ford,mustang,63900.0,5.0,Naturally Aspirated,v8,RWD,manual,6.0,coupe,Blue,Black,clean,nc,private party,1,0,0,0,0,0,0,0,1,1
True,15000.0,mercedes-benz,e-class,23500.0,3.6,Naturally Aspirated,i6,RWD,manual,5.0,coupe,Gray,Black,clean,tn,private party,31,0,0,0,0,0,1,1,1,1
True,6700.0,bmw,6 series,91400.0,4.4,Naturally Aspirated,v8,RWD,automatic,6.0,coupe,Gray,Black,clean,ca,dealer,20,0,0,0,1,0,1,0,1,0
True,25000.0,chevrolet,c6 corvette,28000.0,6.0,Naturally Aspirated,v8,RWD,manual,6.0,coupe,Black,Black,clean,tx,private party,18,0,0,0,1,0,0,0,1,1
True,28000.0,ford,mustang,44200.0,5.0,Naturally Aspirated,v8,RWD,manual,5.0,coupe,Other,Black,clean,or,private party,18,0,0,0,1,0,0,0,1,1
True,59500.0,bmw,m2,4800.0,3.0,turbocharged,i6,RWD,manual,6.0,coupe,Gray,Black,clean,fl,private party,4,0,1,0,1,0,0,0,0,1
True,21000.0,subaru,impreza,60700.0,2.0,turbocharged,flat-4,4WD/AWD,manual,6.0,coupe,Black,Black,clean,ca,private party,27,0,0,0,0,0,1,0,1,1
True,13200.0,bmw,3 series,109900.0,2.5,Naturally Aspirated,i6,RWD,manual,5.0,coupe,White,Black,clean,ca,private party,41,0,0,0,0,0,1,0,1,1
True,42000.0,toyota,supra,46600.0,3.0,turbocharged,i6,RWD,automatic,8.0,coupe,Black,Black,clean,sc,private party,4,0,0,0,0,0,0,0,1,1
False,18800.0,ford,mustang,92700.0,5.0,Naturally Aspirated,v8,RWD,manual,6.0,coupe,Black,Other,clean,fl,private party,10,0,0,0,1,0,0,0,1,1
True,18850.0,mazda,fc rx-7,40600.0,1.3,turbocharged,rotary,RWD,manual,5.0,coupe,Other,Red,clean,wa,private party,38,0,0,0,0,0,1,0,1,1
False,18900.0,chevrolet,c3 corvette,41000.0,5.7,Naturally Aspirated,v8,RWD,automatic,3.0,coupe,Other,Other,clean,az,private party,52,0,0,0,0,0,0,0,1,0
True,187000.0,porsche,718 cayman,4100.0,4.0,Naturally Aspirated,flat-6,RWD,automatic,7.0,coupe,Blue,Black,clean,ca,private party,2,0,1,0,1,0,0,0,0,1
True,30600.0,chevrolet,c6 corvette,73200.0,7.0,Naturally Aspirated,v8,RWD,manual,6.0,coupe,Blue,Other,clean,al,private party,18,0,0,0,1,0,0,1,1,0
True,23750.0,porsche,996 911,99000.0,3.4,Naturally Aspirated,flat-6,4WD/AWD,manual,6.0,coupe,Black,Black,clean,co,private party,24,0,0,0,1,0,1,1,1,0
True,45500.0,bmw,m2,8600.0,3.0,turbocharged,i6,RWD,automatic,7.0,coupe,Black,Black,clean,mo,dealer,7,0,1,0,0,0,0,0,1,1
